column_1,column_2,column_3,column_4,column_5
442,Edward Telles,Distinguished Professor,Sociology,UC Irvine
443,Jonathan Robinson,Professor and Chair,Economics,UC Santa Cruz
444,Ben Read,Professor,Politics,UC Santa Cruz
445,Michele Sazman,Distinguished Professor,History,UC Riverside
446,"Carlos O. Calderón, PhD",Associate Professor of Teaching,School of Education,UC Riverside
447,Cristina Farronato,Lecturer,Italian Studies,UC Berkeley
448,Brett Hollenbeck,Associate Professor,Anderson School of Management,UCLA
449,Margaret Roberts,Professor,Political Science,UC San Diego
450,Fabian Eckert,Assistant Professor,Economics,UC San Diego
451,Mark Steyvers,Professor,Cognitive Sciences,UC Irvine
452,Andrea Henderson,Professor,English,UC Irvine
453,Andrew Plantinga,Professor,Bren School of Environmental Science and Management,UC Santa Barbara
454,Andreas de Barros,Assistant Professor,Education,UC Irvine
455,Abraham D. Stone,Associate Professor,Philosophy,UC Santa Cruz
456,Lisa Portes,"Chair, Professor of Theatre",Theatre and Dance,UC San Diego
457,Craig R. Fox,Professor,Anderson School of Management,UCLA
458,Stacy Kamehiro,Professor,History of Art & Visual Culture,UC Santa Cruz
459,Ryan Julian,Professor,Chemistry,UC Riverside
460,Shreeharsh Kelkar,Continuing Lecturer,Interdisciplinary Studies Field (ISF),UC Berkeley
461,Greg J. Duncan,Distinguished Professor,Education,UC Irvine
462,Richard Startz,Distinguished Professor,economics,UC Santa Barbara
463,Heather Shearer,Teaching Professor,Writing Program,UC Santa Cruz
464,Jill Duerr Berrick,Professor,Social Welfare,UC Berkeley
465,Elodie Goodman,Professor,Business,UC Riverside
466,Matthew Harding,Professor,Economics and Statistics,UC Irvine
467,Fei Xu,Professor,Psychology,UC Berkeley
468,Kinnari Atit,Associate Professor,School of Education,UC Riverside
469,Gabe Dupre,Assistant Professor,Philosophy,UC Davis
470,Jon Sigmon,Continuing Lecturer,Sociology,UCLA
471,Michael Solis,Associate Professor,School of Education,UC Riverside
472,Stephanie Malia Hom,Professor,French & Italian,UC Santa Barbara
473,Lars A. Lochstoer,Professor,Anderson School of Management,UCLA
474,Andrew Fisher,Professor,Molecular and Cellular Biology,UC Davis
475,Stephen Best,Professor,English,UC Berkeley
476,Bryan Holbrook,Continuing Lecturer,Psychology,UC Santa Cruz
477,Eric Saltzman,Professor,Earth System Science,UC Irvine
478,Daniel Acland,Associate professor of research,Public Policy,UC Berkeley
479,Jeffrey A Reimer,Professor of the Graduate School,Chemical and Biomolecular Engineering,UC Berkeley
480,Cristina Moya,Associate Professor,Anthropology,UC Davis
481,Swati Desai,Lecturer,Business,UC Riverside
482,Tara L Tober,Associate Teaching Professor,Sociology,UC Santa Barbara
483,Carol Rachwald,Registrar,Law,UC Berkeley
484,Michael Manville,Professor,Urban Planning,UCLA
485,Julie Guthman,Distinguished Professor Emerita,Sociology/Community Studies,UC Santa Cruz
486,Marc Trachtenberg,Professor Emeritus,Political Science,UCLA
487,Jamie Goodwin-White,Associate Professor,Geography,UCLA
488,Coleen Macnamara,Associate Professor,Philosophy,UC Riverside
489,Eva Braunstein,Lecturer,Writing Program,UC Santa Barbara
490,Stan Oklobdzija,Assistant Professor,School of Public Policy,UC Riverside
491,Susan Handy,Distinguished Professor,Environmental Science & Policy,UC Davis
492,Franklin Shaddy,Associate Professor,Management,UCLA
493,Anke Biendarra,Associate Professor & Chair,European Languages and Studies,UC Irvine
494,Melanie Wasserman,Associate Professor,Anderson School of Management,UCLA
495,Lisa Pearl,Professor,Language Science,UC Irvine
496,Munseob Lee,Associate Professor,School of Global Policy and Strategy,UC San Diego
497,Jane Wu,Assistant Professor,Anderson School,UCLA
