column_1,column_2,column_3,column_4,column_5
104,Jaimie Krems,Associate Professor,Psychology,UCLA
105,Stanley W. Trimble,Professor Emeritus,Geography,UCLA
106,Luca Ferrero,Professor,Philosophy,UC Riverside
107,Jeffrey Lockhart,Assistant Professor,Sociology,UC Berkeley
108,Jana Grittersova,Associate Professor,Political Science,UC Riverside
109,Carlos Avenancio,Assistant Professor,Rady School of Management,UC San Diego
110,Germaine A. Hoston,Professor,Political Science,UC San Diego
111,Jade Marcus Jenkins,Associate Professor,Education,UC Irvine
112,Oliver Arnold,Associate Professor,English,UC Berkeley
113,Yan Long,Associate Professor,Sociology,UC Berkeley
114,David Broockman,Associate Professor,Political Science,UC Berkeley
115,Naomi Eisenberger,Professor,Psychology,UCLA
116,Conrad Rudolph,Distinguished Professor,History of Art,UC Riverside
117,Gabriel Tourek,Assistant Professor,Economics,UC Davis
118,Bradley Voytek,Professor,Cognitive Science,UC San Diego
119,Amy Rae Fox,Assistant Teaching Professor,Cognitive Science,UC San Diego
120,Elena Fuchs,Professor,Mathematics,UC Davis
121,Wenting Song,Assistant Professor,Economics,UC Davis
122,Mia Fuller,Professor,Italian Studies,UC Berkeley
123,Eli Berman,Professor,Economics & GPS,UC San Diego
124,Lindsey Powell,Assistant Professor,Psychology,UC San Diego
125,William Mullins,Associate Professor,Rady School of Management,UC San Diego
126,Abigail Saguy,Professor,Sociology,UCLA
127,Julian Betts,Professor,Economics,UC San Diego
128,Erin Hamilton,Professor,Sociology,UC Davis
129,Andrew Winer,Associate Professor,Creative Writing,UC Riverside
130,Athanasios Geromichalos,Professor,Economics,UC Davis
131,Bo Feng,Professor,Communication,UC Davis
132,Jose Felipe Martinez,Professor,Education,UCLA
133,Julie Schweitzer,Professor,Psychiatry and Behavioral Sciences,UC Davis
134,Michael Saler,Professor,History Department,UC Davis
135,Tyler Scott,Professor,Environmental Science & Policy,UC Davis
136,Lynn E Roller,Professor,Art History,UC Davis
137,Joseph A Lewnard,Associate Professor,School of Public Health,UC Berkeley
