column_1,column_2,column_3,column_4,column_5
103,Paul Balmer,Professor,Mathematics,UCLA
104,Ko Honda,Professor,Mathematics,UCLA
105,Markus Luty,Professor,Physics,UC Davis
106,Rafail Ostorvsky,Distinguished Professor,Computer Science and Mathematics,UCLA
107,Amit Sahai,Professor,Computer Science and Mathematics,UCLA
108,Claudio Campagnari,Distinguisged Professor,Physics,UC Santa Barbara
109,Zhouli Xu,Professor,Mathematics,UCLA
110,Michael Ratz,Professor,Physics & Astronomy,UC Irvine
111,Clayton Nall,Associate Professor,Political Science,UC Santa Barbara
112,Mason A. Porter,Professor,Mathematics,UCLA
113,Michael Hitrik,Professor,Mathematics,UCLA
114,Ernest K. Ryu,Assistant Professor,Mathematics,UCLA
115,Chongying Dong,Professor,Mathematics,UC Santa Cruz
116,Richard Scalettar,Distinguished Professor,Physics and Astronomy,UC Davis
117,Shirley Chiang,Distinguished Professor,Physics and Astronomy,UC Davis
118,Torsten Ehrhardt,Professor,Mathematics,UC Santa Cruz
119,Robion Kirby,"Professor, Emeritus",Mathematics,UC Berkeley
120,Elena Koslover,Associate Professor,Physics,UC San Diego
121,Alexandra Florea,Associate Professor,Mathematics,UC Irvine
122,Steven R White,Distinguished Professor,Physics and Astronomy,UC Irvine
123,Arun Sharma,Lecturer,Math,UC Berkeley
124,Bingqing Cheng,Assistant Professor,Chemistry,UC Berkeley
125,Andrew E. Charman,Lecturer,Physics,UC Berkeley
126,Daniel McKinsey,Professor,Physics,UC Berkeley
127,Itay Neeman,Professor,Math,UCLA
128,Ehud Isacoff,Professor,Neuroscience,UC Berkeley
129,Dorit Hochbaum,Professor,Industrial Engineering and Operations Research,UC Berkeley
130,Alberto Sangiovanni Vincentelli,Professor,EECS,UC Berkeley
131,Chien-I Chiang,Lecturer,Physics,UC Berkeley
132,Dennis D Baldocchi,Distinguished Professor Emeritus,"Environmental Science, Policy and Management",UC Berkeley
133,Kyriakos Komvopoulos,Professor,Mechanical Engineering,UC Berkeley
134,Eran Rabani,Professor,Chemistry,UC Berkeley
135,James H Hurley,Professor,Molecular and Cell Biology,UC Berkeley
136,Ehud Altman,Professor,Physics,UC Berkeley
137,Michael Nachman,Professor,Integrative Biology,UC Berkeley
138,Iris Tommelein,Distinguished Professor,Civil and Environmental Engineering,UC Berkeley
139,Junqiao Wu,Professor,Materials science and engineering,UC Berkeley
140,Achilles Speliotopoulos,Lecturer with Continuing Appointment,Physics,UC Berkeley
141,Ke Xu,Professor,Chemistry,UC Berkeley
142,John D. Eggers,Teaching Professor,Mathematics,UC San Diego
143,James George Analytis,Professor,Physics,UC Berkeley
144,Jason Schweinsberg,Professor,Mathematics,UC San Diego
145,Dan Stamper-Kurn,Professor,Physics,UC Berkeley
146,Shaofan Li,Professor,Department of Civil and Environmental Engineering,UC Berkeley
147,Per Peterson,Professor,Nuclear Engineering,UC Berkeley
148,Rayan Saab,Professor,Mathematics and Data Science,UC San Diego
149,Ahmet Yildiz,Professor,"Molecular and Cell Biology, Physics",UC Berkeley
150,Alistair Sinclair,Professor,Computer Science & Statistics,UC Berkeley
151,Claus Sorensen,Professor,Mathematics,UC San Diego
152,Haichen Wang,Associate Professor,Physics,UC Berkeley
153,Jitendra Malik,Arthur J. Chick Professor,EECS,UC Berkeley
154,Mark Goldman,Professor,"Neuroscience, Physiology, & Behavior",UC Davis
155,Magali Billen,Professor,Earth and Planetary Sciences,UC Davis
156,Sanjay Govindjee,Professor,Civil and Environmental Engineering,UC Berkeley
157,Adam Bowers,Teaching Professor,Mathematics,UC San Diego
158,Carlo Carraro,Adjunct Professor,Chemical and Biomolecular Engineering,UC Berkeley
159,Ming Gu,Professor,Math,UC Berkeley
160,Laura Stevens,Teaching Professor,Mathematics,UC San Diego
161,Hung Nguyen,Lecturer,Civil and Environmental Engineering,UC Berkeley
162,Ioana Dumitriu,Professor,Mathematics,UC San Diego
163,Karl A. van Bibber,Professor,Nuclear Engineering,UC Berkeley
164,Oskar Hallatschek,Professor,Physics,UC Berkeley
165,Everett Wetchler,Lecturer,Statistics,UC Berkeley
166,David Meyer,Professor,Mathematics,UC San Diego
167,Jun Yin,Professor,Mathematics,UCLA
168,Lutz Warnke,Professor,Mathematics,UC San Diego
169,Massimiliano Fratoni,Professor,Nuclear Engineering,UC Berkeley
170,Guershon Harel,Professor,Mathematics,UC San Diego
171,Karthik Shekhar,Assistant Professor,Chemical and Biomolecular Engineering,UC Berkeley
172,Khalid M Mosalam,Professor,Civil and Environmental Engineering,UC Berkeley
173,Homayoon Kazerooni,Professor,Mechanical Engineering,UC Berkeley
174,Aditi Krishnapriyan,Assistant Professor,Chemical Engineering and EECS,UC Berkeley
175,Ting Xu,Professor,"Materials Science and Engineering, Chemistry",UC Berkeley
176,Frederick Manners,Professor,Mathematics,UC San Diego
177,Melvin Leok,Professor,Mathematics,UC San Diego
178,Roya Maboudian,Professor,Chemical and Biomolecular Engineering,UC Berkeley
179,Jack Gallant,Professor,Neuroscience,UC Berkeley
180,Frederic Schoenberg,Professor,Statistics and Data Science,UCLA
181,Richard H. Bamler,Associate Professor,Mathematics,UC Berkeley
182,Kranthi Mandadapu,Associate Professor,Chemical and Biomolecular Engineering,UC Berkeley
183,Luis Ceferino,Assistant Professor,Civil and Environmental Engineering,UC Berkeley
